"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
85	25	04	03	18	58	02	53		-27	-34	-34	-22	-18	-15	-17	-14	-11	-13	-11	-13	-13	-13	-59								24			-97	-98	-100	-101	-107	-106	-96	-106	-110	-107	-98	-97	-85	-86	-63								-6			3	0	2	2	3	2	3	2	2	2	3	1	5	-3	0								1			6	-10	7	-3	4	10	8	-3	-10	8	-1	2	11	-15	-9											101	104	106	103	109	107	97	107	111	108	99	98	86	87	86								25			195.60	199.10	198.80	192.30	189.50	188.10	190.00	187.50	185.70	186.90	186.40	187.60	188.70	188.60	223.10								104.00		
86	25	04	03	19	18	02	53		-42	-49	-39	-26	-21	-20	-19	-14	-24	-17	-12	-29	-19	-7	-13								-25			-95	-82	-94	-104	-91	-104	-103	-104	-113	-109	-114	-101	-116	-100	-124								59			-1	1	1	1	4	5	8	5	8	7	2	7	7	1	8								-11			-2	3	-5	5	0	2	-2	5	0	5	2	0	-8	3												104	96	102	107	93	106	105	105	116	110	115	105	118	100	125								64			203.90	210.90	202.50	194.00	193.00	190.90	190.50	187.70	192.00	188.90	186.00	196.00	189.30	184.00	186.00								337.00		
87	25	04	03	19	38	02	53		-29	-41	-39	-45	-42	-35	-29	-25	-21	-19	-16	-24	-29	-4									-32			-101	-103	-98	-89	-101	-96	-98	-99	-102	-105	-105	-108	-106	-86									28			0	-1	0	0	1	0	3	0	-1	-1	0	1	-3	-3									2			-1	-3	-2	0	6	3	2	5	0	3	13	0	6	-63												105	111	105	100	109	102	102	102	104	107	106	111	110	86									43			196.00	201.70	201.70	206.80	202.60	200.00	196.50	194.20	191.60	190.30	188.70	192.50	195.30	182.70									311.20		
88	25	04	03	19	58	02	53		-32	-38	-47	-48	-47	-42	-30	-31	-18	-20	-12	-14	-27	24									-29			-88	-84	-86	-97	-88	-90	-84	-97	-100	-95	-101	-102	-105	-115									26			1	-1	-3	-1	0	-2	-1	0	-1	1	0	-3	-1	-2									-10			0	3	-3	4	-3	1	2	4	0	1	14	4	-19													94	92	98	108	100	99	89	102	102	97	102	103	108	117									39			200.00	204.30	208.70	206.30	208.10	205.00	199.70	197.70	190.20	191.90	186.80	187.80	194.40	168.20									311.90		
89	25	04	03	20	18	02	53		-23	-28	-25	-27	-24	-19	-21	-18	-13	-11	-19	-7	-25	6									25			-83	-85	-74	-71	-78	-80	-85	-83	-78	-84	-80	-80	-76	-27									-2			1	2	0	1	0	-1	1	1	1	1	1	1	0	4									1			4	1	3	4	3	8	-7	-1	-2	9	11	4	15													86	89	78	76	82	82	88	85	79	85	82	80	80	28									25			195.50	198.20	198.70	200.80	197.10	193.40	193.90	192.20	189.50	187.50	193.40	185.00	198.20	167.50									94.60		
90	25	04	03	20	38	02	53		-24	-21	-18	-25	-24	-22	-27	-15	-16	-26	-22	-26	-22	-13									-1			-72	-64	-70	-81	-76	-77	-78	-72	-73	-63	-72	-63	-72	-97									-29			3	3	3	4	3	5	5	3	3	4	3	3	0	-18									8			1	0	-6	1	5	6	3	8	5	-2	4	17	12													76	67	72	85	80	80	83	74	75	68	75	68	75	98									29			198.40	198.20	194.40	197.20	197.50	195.90	199.10	191.80	192.40	202.40	197.00	202.40	197.00	187.60									182.00		
91	25	04	03	20	58	02	53		-29	-29	-18	-23	-18	-16	-21	-20	-23	-22	-18	-25	-28	-188									1			-42	-49	-49	-54	-52	-54	-54	-46	-43	-43	-32	-42	-26	9									48			1	1	1	1	1	1	3	1	3	0	1	5	7	-5									-2			-1	-3	-2	-4	-2	-6	-1	-6	-2	4	-7	8	-2										23			51	57	52	59	55	56	58	50	49	48	37	49	38	188									48			214.60	210.60	200.20	203.10	199.10	196.50	201.30	203.50	208.10	207.10	209.40	210.80	227.10	272.70									1.20		
92	25	04	03	21	18	02	53		-25	-32	-26	-26	-24	-26	-17	-18	-9	-12	-28	-26	-25	3									-40			-25	-24	-28	-36	-30	-23	-21	-30	-23	-15	-17	-24	-9	-11									77			0	0	0	0	1	-1	0	0	-1	0	2	0	-2	1									-19			-3	-2	1	8	-2	0	-8	-4	2	1	-12	7	12										-6			35	40	38	44	38	35	27	35	25	19	33	35	27	11									87			225.00	233.10	222.90	215.80	218.70	228.50	219.00	211.00	201.40	218.70	238.70	227.30	250.20	164.70									332.50		
93	25	04	03	21	38	02	53		-27	-23	-16	-30	-25	-19	-24	-17	-11	-23	-15	-4	4	-98									-54			-2	-12	-12	-14	-5	-9	-22	-23	-14	-17	-9	-19	-11	-176									73			-1	-1	1	0	1	0	2	0	-2	-1	2	0	-1	-12									-21			-4	1	3	0	-1	7	-2	1	-8	2	-10	2	-1										-21			27	26	20	33	25	21	33	29	18	29	17	19	12	201									91			265.80	242.40	233.10	245.00	258.70	244.70	227.50	216.50	218.20	233.50	239.00	191.90	160.00	209.10									323.50		
94	25	04	03	21	58	02	53		-19	-23	-29	-21	-24	-30	-25	-21	-21	-13	-24	-31	-14										-5			-5	0	-1	-6	-8	0	-3	-10	-11	4	10	2	-5										52			0	1	1	1	1	3	1	1	0	1	1	-2	-12										1			1	-4	9	2	2	-6	-2	2	5	-2	1	2	-63										20			20	23	29	22	25	30	25	23	24	14	26	31	15										52			255.30	270.00	268.00	254.10	251.60	270.00	263.20	244.50	242.40	287.10	292.60	273.70	250.30										354.50		
95	25	04	03	22	18	02	53		-20	-16	-18	-17	-33	-20	-26	-21	-17	-25	-23	-23	-12										16			16	14	21	5	14	15	14	21	12	10	22	11	-29										-5			2	-3	-2	-1	-1	-1	-1	2	1	2	-2	3	-5										13			7	5	-1	3	1	-3	4	-2	-3	1	3	0	42													26	21	28	18	36	25	30	30	21	27	32	25	31										17			308.70	311.20	319.40	286.40	293.00	306.90	298.30	315.00	305.20	291.80	313.70	295.60	202.50										107.40		
96	25	04	03	22	38	02	53		-25	-31	-29	-28	-24	-22	-17	-23	-10	-28	-21	-4	12	-44									25			18	18	15	14	28	20	19	23	14	13	13	18	3	-178									9			-1	1	0	3	2	2	3	2	1	1	3	1	-2	12									-5			0	-1	-1	-9	-5	-2	6	-2	-3	6	-4	0	-10													31	36	33	31	37	30	25	33	17	31	25	18	12	183									27			305.80	300.10	297.30	296.60	319.40	312.30	318.20	315.00	324.50	294.90	301.80	347.50	76.00	193.90									70.20		
97	25	04	03	22	58	02	53		-28	-28	-24	-19	-16	-18	-25	-20	-26	-24	-20	-26	-14	-26									2			18	11	5	11	11	10	11	7	21	20	18	12	31	-134									49			1	1	0	2	1	1	2	0	1	2	1	1	-1	-7									-3			4	0	0	0	-4	-2	-7	-5	0	-1	4	4	0													33	30	25	22	19	21	27	21	33	31	27	29	34	136									49			302.70	291.40	281.80	300.10	304.50	299.10	293.70	289.30	308.90	309.80	312.00	294.80	335.70	191.00									2.30		
98	25	04	03	23	18	02	53		-15	-18	-29	-18	-17	-19	-21	-24	-15	-18	-11	-24	-18	-11									-53			8	20	-3	8	8	5	11	10	13	9	12	6	1	2									73			0	0	-1	0	0	1	1	1	3	1	0	2	-10	11									-15			-8	0	-5	-5	3	-1	-3	-3	-3	-1	-3	-8	20													17	27	29	20	19	20	24	26	20	20	16	25	18	11									90			298.10	318.00	264.10	294.00	295.20	284.70	297.60	292.60	310.90	296.60	317.50	284.00	273.20	280.30									324.00		
99	25	04	03	23	38	02	53		-15	-20	-13	-21	-26	-22	-30	-33	-31	-25	-33	-35	-9	-3									-39			0	-2	3	4	5	9	4	7	8	6	-1	5	23	14									7			-1	0	0	0	1	0	-1	2	0	1	-1	1	0	4									1			-10	-1	-3	1	-8	-1	6	-1	8	-4	-8	-3	-8													15	20	13	21	26	24	30	34	32	26	33	35	25	14									40			270.00	264.30	283.00	280.80	280.90	292.20	277.60	282.00	284.50	283.50	268.30	278.10	338.60	347.90									280.20		
100	25	04	03	23	58	02	53		-17	-20	-29	-25	-26	-33	-35	-23	-23	-28	-33	-23	-33	35									0			-13	-10	1	-7	-6	-4	-5	-10	-6	-4	7	4	2	75									-14			0	0	2	0	-1	1	0	-1	0	2	1	-1	-3	5									16			-8	1	2	2	2	-3	-2	-1	1	-6	-5	-7	10													21	22	29	26	27	33	35	25	24	28	34	23	33	83									14			232.60	243.40	272.00	254.40	257.00	263.10	261.90	246.50	255.40	261.90	282.00	279.90	273.50	25.00									180.00		
101	25	04	04	00	18	02	53		-24	-30	-39	-34	-30	-30	-37	-29	-37	-20	-31	-35	-27	6									17			-11	-16	-7	-5	-8	-8	-7	-10	-2	-7	9	23	25	13									14			4	2	3	3	3	2	2	3	1	1	3	3	0	-13									3			0	-2	7	-3	3	-5	4	-3	8	6	-6	8	-9													26	34	40	34	31	31	38	31	37	21	32	42	37	14									22			245.40	241.90	259.80	261.60	255.10	255.10	259.30	251.00	266.90	250.70	286.20	303.30	312.80	24.80									50.50		
102	25	04	04	00	38	02	53		-12	-29	-29	-35	-26	-35	-23	-22	-31	-31	-12	-25	-27	-34									-59			-4	6	-2	2	9	3	6	8	13	13	23	31	13	43									100			1	1	1	0	1	2	0	1	0	0	0	-3	-2	-11									-33			5	-4	-1	-5	5	-2	4	1	0	-1	-5	-6	-23													13	30	29	35	28	35	24	23	34	34	26	40	30	55									116			251.60	281.70	266.10	273.30	289.10	274.90	284.60	290.00	292.80	292.80	332.40	321.10	295.70	321.70									329.50		
103	25	04	04	00	58	02	53		-15	-26	-19	-17	-20	-25	-20	-12	-8	-19	8	-13	11	-37									-29			-11	8	6	4	8	3	9	15	26	19	25	12	35	54									44			-4	-4	-5	-4	-5	-5	-4	-5	-4	-2	-5	-4	-4	-17									-11			7	1	3	5	9	9	-2	5	-11	3	11	-3	-17													19	27	20	17	22	25	22	19	27	27	26	18	37	65									53			233.70	287.10	287.50	283.20	291.80	276.80	294.20	321.30	342.90	315.00	17.70	312.70	17.40	325.60									326.60		
104	25	04	04	01	18	02	53		-23	-26	-29	-26	-17	-34	-29	-23	-18	-28	-12	-14	-12	-29									33			-6	0	3	14	14	9	15	13	18	24	27	41	31	-54									-27			-3	-5	-5	-6	-8	-7	-9	-9	-10	-7	-6	-2	1	-6									0			-8	4	2	10	-4	4	8	-3	10	-3	4	5	-27													24	26	29	30	22	35	33	26	25	37	30	43	33	61									43			255.40	270.00	275.90	298.30	309.50	284.80	297.30	299.50	315.00	310.60	336.00	341.10	338.80	208.20									129.30		
105	25	04	04	01	38	02	53		-24	-15	-14	-21	-13	-15	-28	-22	-23	-21	-8	0	13	3									37			-3	5	15	13	20	25	28	28	31	41	48	32	19	-2									57			-4	-3	-1	-6	-7	-10	-8	-8	-7	-4	-4	-4	-4	-13									-11			-10	4	-5	-4	6	1	4	1	1	-4	1	-4	-9	-89												24	16	21	25	24	29	40	36	39	46	49	32	23	4									68			262.90	288.40	317.00	301.80	327.00	329.00	315.00	321.80	323.40	332.90	350.50	0.00	34.40	123.70									33.00		
106	25	04	04	01	58	02	53		-26	-23	-17	-12	-14	-11	-14	-21	-13	-7	-13	-2	8	40									-56	-52	-36	13	17	28	22	16	32	34	39	43	29	43	37	35	-36									94	-14	19	0	1	1	0	-1	-3	-3	-5	-5	0	-3	-1	-4	13									-34	12	22	4	-3	2	-2	3	1	10	0	0	-12	0	12	13													29	29	33	25	21	34	37	44	45	30	45	37	36	54									109	54	41	296.60	306.50	328.70	331.40	318.80	341.00	337.60	331.70	343.20	346.40	343.20	356.90	12.90	132.00									329.20	254.90	297.80
107	25	04	04	02	18	02	53		-17	-11	-13	-24	-37	-34	-31	-30	-19	-17	-18	-1	14	-83										-19	-21	20	20	14	22	15	24	35	42	43	22	29	41	34	24										23	-158	-2	-4	-5	-8	-8	-8	-7	-6	-1	-3	-1	-2	5	-14										7	-32	-2	-1	1	0	-10	-1	-6	-12	8	-10	9	0	3	43												26	23	19	33	40	42	47	52	47	28	34	41	37	86										30	159	319.60	331.20	317.10	312.50	292.10	305.20	318.50	324.50	336.20	322.30	328.20	358.60	22.40	286.10										320.40	187.60
108	25	04	04	02	38	02	53		-19	-8	-18	-20	-32	-25	-21	4	0	-7	9	2	5	114										-53		-4	4	6	10	4	14	12	10	4	14	13	24	24	-42										29		-1	-3	-2	-2	-2	-4	-3	-3	-1	1	2	3	0	-14										17		1	4	-1	-3	-1	-8	-4	-8	-7	-8	-1	4	13													19	9	19	22	32	29	24	11	4	16	16	24	25	121										60		258.10	296.60	288.40	296.60	277.10	299.20	299.70	21.80	0.00	333.40	34.70	4.80	11.80	110.20										298.70	
109	25	04	04	02	58	02	53		0	-1	0	-16	-24	-24	-10	-4	2	-5	5	0	0	-59										-61		-15	-2	6	4	8	22	10	13	12	8	13	7	28	28										87		0	3	2	1	1	1	1	-1	-2	-1	-1	-2	1	1										15		0	-2	0	0	3	-1	-1	3	-19	-12	-10	6	16													15	2	6	16	25	33	14	14	12	9	14	7	28	65										106		180.00	206.60	0.00	284.00	288.40	312.50	315.00	342.90	9.50	328.00	21.00	0.00	0.00	295.40										325.00	
110	25	04	04	03	18	02	53		-12	-2	-7	-21	-14	-12	0	-6	-2	-9	-2	-3	-14											13		-10	1	4	1	8	12	4	11	14	-5	1	-7	0											-23		1	1	0	0	-1	2	0	0	2	3	0	1	0											-16		-2	-4	-2	-7	0	3	7	-1	9	-11	9	-2	-14													16	2	8	21	16	17	4	13	14	10	2	8	14											26		230.20	296.60	299.70	272.70	299.70	315.00	0.00	331.40	351.90	240.90	296.60	203.20	270.00											150.50	
111	25	04	04	03	38	02	53		-3	-9	2	4	6	0	-3	5	5	1	-1	9	3	-52										6		-32	-25	-8	-18	-15	-15	-16	-2	-16	-22	-15	-30	-22	80										-16		0	0	-1	0	2	-1	1	1	0	2	0	4	1	4										-13		9	-8	-5	11	-6	-3	-2	-10	13	0	15	3	-10													32	27	8	18	16	15	16	5	17	22	15	31	22	95										17		185.40	199.80	166.00	167.50	158.20	180.00	190.60	111.80	162.60	177.40	183.80	163.30	172.20	327.00										159.40	
112	25	04	04	03	58	02	53		-16	-3	-12	-10	-13	-17	-12	-6	2	-5	-1	-1	3	4										3		-44	-40	-40	-27	-37	-23	-27	-26	-29	-29	-28	-28	-29	-36										-36		1	1	1	1	2	0	1	3	2	3	1	1	5	-39										-17		-1	5	1	-5	-6	-7	5	-7	-1	5	11	-1	5													47	40	42	29	39	29	30	27	29	29	28	28	29	36										36		200.00	184.30	196.70	200.30	199.40	216.50	204.00	193.00	176.10	189.80	182.00	182.00	174.10	173.70										175.20	
113	25	04	04	04	18	02	53		-6	-4	-9	-10	-3	-2	-6	-7	-2	-12	-3	-14	8	-34										-33		-55	-46	-42	-36	-39	-38	-46	-46	-44	-43	-49	-50	-54	-55										55		2	5	5	5	4	3	4	4	3	4	3	4	-2	4										-12		7	3	-5	7	-7	6	-1	6	8	4	5	2	-8													55	46	43	37	39	38	46	47	44	45	49	52	55	65										64		186.20	185.00	192.10	195.50	184.40	183.00	187.40	188.70	182.60	195.60	183.50	195.60	171.60	211.70										329.00	
114	25	04	04	04	38	02	53		-9	-3	-5	2	6	1	2	8	2	-2	-11	-2	3	13										-57	11	-55	-47	-52	-51	-51	-48	-51	-51	-60	-49	-62	-66	-54	-97										72	53	2	2	3	2	2	2	2	4	3	2	4	3	5	-4										22	22	3	-7	-2	6	1	0	0	-5	0	4	-2	-6	-12													56	47	52	51	51	48	51	52	60	49	63	66	54	98										92	54	189.30	183.70	185.50	177.80	173.30	178.80	177.80	171.10	178.10	182.30	190.10	181.70	176.80	172.40										321.60	11.70
115	25	04	04	04	58	02	53		3	5	4	2	1	-8	-5	-10	7	2	-2	-2	-12	48										-27	3	-78	-71	-69	-72	-71	-56	-58	-59	-55	-53	-67	-65	-66	-41										31	26	3	2	3	2	1	4	0	0	-2	0	3	2	1	20										17	31	2	4	1	2	1	3	1	5	1	13	-10	3	10													78	71	69	72	71	57	58	60	55	53	67	65	67	63										41	26	177.80	176.00	176.70	178.40	179.20	188.10	184.90	189.60	172.70	177.80	181.70	181.80	190.30	130.50										318.90	6.60
116	25	04	04	05	18	02	53		-6	-3	-1	5	-1	-7	-4	5	-4	4	1	-7	20	-7										-12	5	-68	-76	-80	-89	-84	-86	-67	-55	-63	-54	-67	-59	-79	-74										20	26	-1	3	2	4	2	2	6	2	3	4	7	5	1	5										6	42	-3	-2	1	3	1	-5	-8	-10	-10	1	-3	-2	1													68	76	80	89	84	86	67	55	63	54	67	59	81	74										23	26	185.00	182.30	180.70	176.80	180.70	184.70	183.40	174.80	183.60	175.80	179.10	186.80	165.80	185.40										329.00	10.90
117	25	04	04	05	38	02	53		-16	-8	-8	-1	3	-2	0	20	1	6	-6	13	31										9	-80	-2	-66	-66	-71	-68	-67	-67	-60	-65	-65	-60	-66	-58	-72										25	-32	56	1	1	2	1	0	2	4	3	2	1	2	-1	4										2	-1	18	-8	-5	-1	4	5	7	-1	7	0	4	-1	10	0													68	66	71	68	67	67	60	68	65	60	66	59	78										27	86	56	193.60	186.90	186.40	180.80	177.40	181.70	180.00	162.90	179.10	174.30	185.20	167.40	156.70										19.80	248.20	358.00
118	25	04	04	05	58	02	53		-9	-3	-1	4	4	2	-7	6	-3	5	-4	-1	-8	-75									-27	-11	37	-63	-72	-81	-85	-81	-72	-70	-73	-78	-77	-69	-57	-73	8									71	30	-42	0	0	0	0	0	0	0	0	2	2	0	1	6	9									-10	4	-2	11	-2	8	4	4	5	-1	1	-5	4	8	-12	-2													64	72	81	85	81	72	70	73	78	77	69	57	73	75									76	32	56	188.10	182.40	180.70	177.30	177.20	178.40	185.70	175.30	182.20	176.30	183.30	181.00	186.30	276.10									339.20	339.90	138.60
119	25	04	04	06	18	02	53		-14	-6	-5	-6	6	7	8	9	5	-2	2	10	-1	-33									-15			-65	-70	-71	-77	-75	-79	-82	-76	-61	-70	-72	-71	-74	-47									27			2	-1	1	1	2	2	3	1	2	1	0	4	0	-2									-9			-2	-1	-4	7	-3	-1	-6	-3	6	-1	1	-1	7													66	70	71	77	75	79	82	77	61	70	72	72	74	57									31			192.20	184.90	184.00	184.50	175.40	174.90	174.40	173.20	175.30	181.60	178.40	172.00	180.80	215.10									330.90		
120	25	04	04	06	38	02	53		-3	-12	-9	-5	4	6	-5	-9	-2	-6	2	-9	3	0									-5		-152	-61	-74	-76	-81	-73	-89	-76	-72	-72	-72	-65	-60	-69	-3									33		9	1	0	0	-1	0	-1	0	2	0	0	0	0	0	6									-17		-14	-6	-7	-3	-3	4	5	2	-12	-2	0	2	1	22													61	75	77	81	73	89	76	73	72	72	65	61	69	3									33		152	182.80	189.20	186.80	183.50	176.90	176.10	183.80	187.10	181.60	184.80	178.20	188.50	177.50	180.00									351.40		273.40
121	25	04	04	06	58	02	53		-3	0	-3	-8	-2	2	2	9	-10	2	-5	1	-3	-23									-21			-68	-84	-78	-79	-78	-96	-90	-84	-93	-87	-73	-71	-65	-96									29			0	0	0	0	0	0	0	0	0	1	0	0	0	5									-4			4	8	1	5	3	1	-5	-1	-9	-5	-8	-6	9	-54												68	84	78	79	78	96	90	84	94	87	73	71	65	99									36			182.50	180.00	182.20	185.80	181.50	178.80	178.70	173.90	186.10	178.70	183.90	179.20	182.60	193.50									324.10		
122	25	04	04	07	18	02	53		8	0	5	-8	1	0	4	1	-1	-3	-15	-17	-6	-17									-67			-99	-97	-98	-95	-102	-98	-98	-104	-86	-79	-90	-82	-82	-32									89			1	1	1	3	5	3	4	2	2	2	7	7	2	1									-20			-3	2	-4	1	-1	8	6	5	4	2	9	1	-14	-3												99	97	98	95	102	98	98	104	86	79	91	84	82	36									111			175.40	180.00	177.10	184.80	179.40	180.00	177.70	179.40	180.70	182.20	189.50	191.70	184.20	208.00									323.00		
123	25	04	04	07	38	02	53		3	-1	2	16	6	-5	-6	-4	-5	-7	-12	-5	-6	-6									6			-96	-96	-97	-98	-95	-96	-96	-93	-98	-96	-101	-67	-74	-31									-22			2	1	2	2	4	3	5	4	2	7	5	7	6	7									2			-5	2	5	0	4	3	3	-4	1	-6	2	-7	26	-116												96	96	97	99	95	96	96	93	98	96	102	67	74	32									23			178.20	180.60	178.80	170.70	176.40	183.00	183.60	182.50	182.90	184.20	186.80	184.30	184.60	191.00									164.70		
124	25	04	04	07	58	02	53		1	7	-5	7	-5	3	-15	-3	-6	-8	-11	-8	-27	-31	-25								-27			-90	-91	-94	-96	-96	-100	-86	-85	-87	-85	-82	-75	-60	-65	-17								12			1	1	1	2	1	1	3	4	4	3	8	7	1	4	-10								-9			-2	0	1	0	0	0	0	8	2	-9	7	0	5	-17												90	91	94	96	96	100	87	85	87	85	83	75	66	72	30								30			179.40	175.60	183.00	175.80	183.00	178.30	189.90	182.00	183.90	185.40	187.60	186.10	204.20	205.50	235.80								294.00		
125	25	04	04	08	18	02	53		-3	-2	-3	-2	-6	-12	-9	-9	-2	-8	-3	-17	-23	51									-55			-99	-102	-104	-106	-105	-108	-110	-113	-103	-95	-107	-75	-86	-16									21			2	1	3	3	6	4	5	6	5	4	7	5	4	1									-10			13	2	2	-9	3	2	4	7	2	5	1	0	5													99	102	104	106	105	109	110	113	103	95	107	77	89	53									59			181.70	181.10	181.70	181.10	183.30	186.30	184.70	184.60	181.10	184.80	181.60	192.80	195.00	107.40									290.90		
126	25	04	04	08	38	02	53		-10	-17	-17	-21	-27	-14	-15	-9	-12	-24	-28	-25	-22	-13									23			-90	-96	-109	-114	-107	-114	-102	-104	-107	-101	-100	-96	-71	-59									-18			0	2	4	1	4	6	3	6	2	6	3	4	6	1									9			-1	4	-5	4	-1	-11	11	0	-4	9	3	-2	7	88												91	97	110	116	110	115	103	104	108	104	104	99	74	60									29			186.30	190.00	188.90	190.40	194.20	187.00	188.40	184.90	186.40	193.40	195.60	194.60	197.20	192.40									128.00		
127	25	04	04	08	58	02	53		-7	-18	-11	-17	-4	-18	-16	-15	-6	-2	-18	-18	-29	-4									-11			-87	-84	-91	-93	-87	-85	-89	-82	-78	-86	-89	-87	-73	-41									60			2	2	1	2	3	4	4	5	3	4	4	3	3	1									-13			3	3	-7	-7	-2	6	3	-3	-6	3	-2	-18	3	18												87	86	92	95	87	87	90	83	78	86	91	89	79	41									61			184.60	192.10	186.90	190.40	182.60	192.00	190.20	190.40	184.40	181.30	191.40	191.70	201.70	185.60									349.60		
128	25	04	04	09	18	02	53		-10	-16	-16	-12	-17	-16	-21	-13	-13	-19	-15	-26	-13	96									-81			-79	-70	-83	-78	-81	-78	-80	-78	-82	-62	-54	-63	-43	-37									138			4	4	4	4	4	6	7	4	5	4	4	6	4	11									-23			5	-2	-5	1	-4	0	-7	-1	-5	-2	-1	9	-15										-46			80	72	85	79	83	80	83	79	83	65	56	68	45	103									160			187.20	192.90	190.90	188.70	191.90	191.60	194.70	189.50	189.00	197.00	195.50	202.40	196.80	111.10									329.60		
129	25	04	04	09	38	02	53		-23	-28	-25	-21	-20	-25	-18	-28	-40	-29	-23	-17	0	15								130	-37			-59	-67	-66	-63	-51	-61	-60	-56	-50	-46	-40	-28	-11	-46								107	-1			0	3	2	2	4	4	2	2	2	3	3	2	-2	7								-63	-14			4	-5	6	-9	4	1	5	3	5	-6	2	2	-8	-26												63	73	71	66	55	66	63	63	64	54	46	33	11	48								168	37			201.30	202.70	200.70	198.40	201.40	202.30	196.70	206.60	218.70	212.20	209.90	211.30	180.00	161.90								50.50	268.50		
130	25	04	04	09	58	02	53		-26	-25	-27	-23	-25	-20	-21	-19	-32	-35	-29	-18	-23	-11				40	68				-18			-41	-45	-42	-51	-39	-42	-33	-41	-21	-18	-9	-11	-17	-23				36	71				-44			0	-1	0	1	0	2	2	1	-1	0	-1	0	-1	4				-8	-16				-8			8	2	-4	2	2	-4	11	2	-4	-5	-8	0	4	40												49	51	50	56	46	47	39	45	38	39	30	21	29	25				54	98				48			212.40	209.10	212.70	204.30	212.70	205.50	212.50	204.90	236.70	242.80	252.80	238.60	233.50	205.60				48.00	43.80				202.20		
131	25	04	04	10	18	02	53		-22	-15	-21	-22	-24	-31	-37	-30	-29	-26	-32	-21	-17	16									-41			-41	-46	-41	-48	-31	-25	-15	-11	-12	-15	-2	-10	14	-25									21			1	0	1	-2	0	-2	-2	-1	-3	-1	-1	-3	0	-12									-10			0	2	-3	0	1	2	-2	-1	-2	-1	-4	0	-17	34												47	48	46	53	39	40	40	32	31	30	32	23	22	30									46			208.20	198.10	207.10	204.60	217.70	231.10	247.90	249.90	247.50	240.00	266.40	244.50	309.50	147.40									297.10		
132	25	04	04	10	38	02	53		-19	-29	-32	-20	-26	-18	-32	-27	-15	-14	-22	-6	-25	-25									-76			-34	-23	-28	-22	-24	-15	-12	-22	1	-15	-4	5	-4	-21									148			-1	-1	-1	-1	-1	-2	-1	-1	0	-1	2	-1	-1	3									-21			1	0	0	0	0	-6	-1	2	8	0	-5	-6	1	41												39	37	43	30	35	23	34	35	15	21	22	8	25	33									166			209.20	231.60	228.80	222.30	227.30	230.20	249.40	230.80	273.80	223.00	259.70	309.80	260.90	230.00									332.80		
133	25	04	04	10	58	02	53		-30	-28	-30	-42	-37	-32	-27	-14	-15	-3	-9	-1	-8	-25									-26			-27	-27	-28	-19	-11	-6	1	-5	8	6	-1	13	15	37									102			0	-1	-2	-1	-1	1	-1	0	2	3	1	2	3	3									-18			4	15	0	-4	1	-3	4	3	-1	3	-2	-1	-5	-51												40	39	41	46	39	33	27	15	17	7	9	13	17	45									105			228.00	226.00	227.00	245.70	253.40	259.40	272.10	250.30	298.10	333.40	263.70	355.60	331.90	326.00									345.70		
