"Series Data"
"C:\Users\MarcosP\Desktop\DPL1_000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 25/04/02"
"First Ensemble Time = 14:58:02.53"
"Ensemble Interval (s) = "	1200.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
28	25	04	02	23	58	02	53		-21	-33	-29	-22	-23	-21	-18	-22	-16	-11	-25	-14	-15	-27	-127	-23							-2			23	22	35	42	30	35	35	33	40	35	45	30	4	-7	-12	67							-14			1	1	1	2	1	1	1	1	0	1	-1	-5	0	7	-32	-4							-4			3	-9	0	0	6	1	-4	-1	0	-1	-1	-3	17	31												31	40	45	47	38	41	39	40	43	37	51	33	16	28	128	71							14			317.60	303.70	320.40	332.40	322.50	329.00	332.80	326.30	338.20	342.60	330.90	335.00	284.90	255.50	264.60	341.10							188.10		
29	25	04	03	00	18	02	53		-17	-21	-17	-17	-15	-11	12	2	-8	-4	1	5	2	-19	-87								5			29	34	33	36	29	31	31	27	30	36	24	24	30	27	79								4			0	1	2	1	2	0	1	1	0	-1	-1	-3	0	-13	0								1			-3	2	4	6	-9	-7	-5	-6	-6	1	5	-6	-1	-4												34	40	37	40	33	33	33	27	31	36	24	25	30	33	118								6			329.60	328.30	332.70	334.70	332.70	340.50	21.20	4.20	345.10	353.70	2.40	11.80	3.80	324.90	312.20								51.30		
30	25	04	03	00	38	02	53		-27	-16	-16	-13	-11	0	-6	-2	-4	3	-4	1	-16	-25									-50			17	22	17	18	11	25	24	32	22	29	30	18	34	63									67			0	1	0	-1	0	-1	-1	-1	-1	-4	-4	-4	-6	-11									-17			-5	1	4	6	1	1	1	1	-9	-4	-6	1	-23	39												32	27	23	22	16	25	25	32	22	29	30	18	38	68									84			302.20	324.00	316.70	324.20	315.00	0.00	346.00	356.40	349.70	5.90	352.40	3.20	334.80	338.40									323.30		
31	25	04	03	00	58	02	53		-16	-5	1	-6	-6	-3	-8	-6	-6	-20	-20	-11	-19	5									2	17	83	13	24	31	28	35	36	35	30	34	31	51	48	17	-5									47	39	-15	0	0	0	-1	0	1	0	-2	-2	-2	-4	-6	-13	-15									-13	-3	-2	0	-4	-1	3	2	-11	6	4	4	9	-11	6	-11													21	25	31	29	36	36	36	31	35	37	55	49	25	7									47	43	84	309.10	348.20	1.80	347.90	350.30	355.20	347.10	348.70	350.00	327.20	338.60	347.10	311.80	135.00									2.40	23.60	100.20
32	25	04	03	01	18	02	53		4	0	-1	-3	0	-4	-9	-12	-7	-15	-22	-14	-13	17									-37	-18	-51	18	25	25	27	32	29	24	32	28	44	37	35	36	2									37	-47	-58	-2	-1	-3	-2	-2	-1	-2	-1	-2	-4	-2	-4	-8	0									-10	-2	4	8	2	4	2	-5	2	1	-9	-5	-2	-4	-2	21													18	25	25	27	32	29	26	34	29	46	43	38	38	17									52	50	77	12.50	0.00	357.70	353.70	0.00	352.10	339.40	339.40	346.00	341.20	329.30	338.20	340.10	83.30									315.00	201.00	221.30
33	25	04	03	01	38	02	53		15	19	0	3	9	-6	-9	0	0	-11	-3	-25	-21	-3									34	-36	-85	6	8	15	20	22	17	19	21	12	31	38	19	27	12									33	28	12	0	-1	-2	0	-2	-2	-1	-3	-4	-3	-4	-6	-5	9									-5	8	15	1	3	-2	1	3	-1	6	6	-2	2	-3	3	11	-147												16	21	15	20	24	18	21	21	12	33	38	31	34	12									47	46	86	68.20	67.20	0.00	8.50	22.20	340.60	334.70	0.00	0.00	340.50	355.50	307.20	322.10	346.00									45.90	307.90	278.00
34	25	04	03	01	58	02	53		18	12	10	6	11	0	8	0	1	-14	-11	-11	-7	30										-8	17	-9	-9	-11	2	2	-3	7	1	7	8	10	14	6	80										91	27	2	1	0	1	1	1	3	1	1	0	-1	-2	-5	-13										1	-12	-2	3	-2	4	2	-6	-10	-13	0	-1	5	-1	-7													20	15	15	6	11	3	11	1	7	16	15	18	9	85										91	32	116.60	126.90	137.70	71.60	79.70	180.00	48.80	0.00	8.10	299.70	312.30	321.80	310.60	20.60										355.00	32.20
35	25	04	03	02	18	02	53		12	16	10	12	12	-1	7	6	10	-12	-8	-12	-8											-20		-25	-33	-23	-26	-20	-30	-28	-12	-22	-11	-28	-15	-15											8		4	3	3	2	4	3	3	3	3	5	1	3	3											-15		4	3	-3	4	2	2	-8	-5	-1	-2	3	-4	-10													28	37	25	29	23	30	29	13	24	16	29	19	17											22		154.40	154.10	156.50	155.20	149.00	181.90	166.00	153.40	155.60	227.50	195.90	218.70	208.10											291.80	
36	25	04	03	02	38	02	53		15	21	11	9	10	-1	2	-7	-4	-10	-3	-11	-8	-127										-27		-24	-32	-30	-38	-33	-36	-34	-28	-25	-19	-39	-17	-32	34										66		1	1	1	0	1	4	6	4	5	3	4	6	4	40										2		2	3	-1	-7	7	4	-10	0	6	-6	1	-17	10													28	38	32	39	34	36	34	29	25	21	39	20	33	131										71		148.00	146.70	159.90	166.70	163.10	181.60	176.60	194.00	189.10	207.80	184.40	212.90	194.00	285.00										337.80	
37	25	04	03	02	58	02	53		22	10	14	16	10	7	1	-4	-8	-5	-11	-14	-57	35										-30	-34	-68	-56	-52	-52	-53	-45	-50	-56	-36	-33	-29	-24	-48	16										50	-3	0	0	0	-1	0	1	2	3	3	2	3	4	7	2										5	11	-1	9	0	-2	-5	5	-8	-3	6	-4	4	0	-37													71	57	54	54	54	46	50	56	37	33	31	28	75	38										58	34	162.10	169.90	164.90	162.90	169.30	171.20	178.90	184.10	192.50	188.60	200.80	210.30	229.90	65.40										329.00	265.00
